,business_status,formatted_address,geometry,icon,name,place_id,rating,reference,types,user_ratings_total,plus_code,opening_hours
0,OPERATIONAL,"Hill 50, 5664 HM Geldrop, Netherlands","{'location': {'lat': 37.09024, 'lng': -95.712891}, 'viewport': {'northeast': {'lat': 37.09134242989272, 'lng': -95.71133912010728}, 'southwest': {'lat': 37.08864277010727, 'lng': -95.71403877989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ING,ChIJpS60CuyBt4cRUvCYtuufmp8,0.0,ChIJpS60CuyBt4cRUvCYtuufmp8,"['atm', 'finance', 'point_of_interest', 'establishment']",0,,
1,OPERATIONAL,"415 W 11th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.03260909999999, 'lng': -95.6217695}, 'viewport': {'northeast': {'lat': 37.03414522989273, 'lng': -95.62042102010729}, 'southwest': {'lat': 37.03144557010729, 'lng': -95.62312067989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJd5puSvSEt4cRBq4kwNupJjk,0.0,ChIJd5puSvSEt4cRBq4kwNupJjk,"['atm', 'finance', 'point_of_interest', 'establishment']",0,"{'compound_code': '29MH+27 Coffeyville, Kansas', 'global_code': '869629MH+27'}",
2,OPERATIONAL,"1414 W 11th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0335826, 'lng': -95.6393307}, 'viewport': {'northeast': {'lat': 37.03476127989271, 'lng': -95.63798352010728}, 'southwest': {'lat': 37.03206162010727, 'lng': -95.64068317989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJa7vnx4eEt4cRgRZrS3Hd3s0,0.0,ChIJa7vnx4eEt4cRgRZrS3Hd3s0,"['atm', 'finance', 'point_of_interest', 'establishment']",0,"{'compound_code': '29M6+C7 Coffeyville, Kansas', 'global_code': '869629M6+C7'}",
3,OPERATIONAL,"601 W 8th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0358374, 'lng': -95.6244237}, 'viewport': {'northeast': {'lat': 37.03733112989272, 'lng': -95.62307427010728}, 'southwest': {'lat': 37.03463147010728, 'lng': -95.62577392989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJFTQ78V-Et4cRgiAOAK-M6JQ,5.0,ChIJFTQ78V-Et4cRgiAOAK-M6JQ,"['atm', 'finance', 'point_of_interest', 'establishment']",1,"{'compound_code': '29PG+86 Coffeyville, Kansas', 'global_code': '869629PG+86'}",
4,OPERATIONAL,"901 Northeast St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0358907, 'lng': -95.6000002}, 'viewport': {'northeast': {'lat': 37.03722092989272, 'lng': -95.59865207010728}, 'southwest': {'lat': 37.03452127010728, 'lng': -95.60135172989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJceq4lgCFt4cR3nfyOGyDyi4,0.0,ChIJceq4lgCFt4cR3nfyOGyDyi4,"['atm', 'finance', 'point_of_interest', 'establishment']",0,"{'compound_code': '29PX+9X Coffeyville, Kansas', 'global_code': '869629PX+9X'}",
5,OPERATIONAL,"3804 W 8th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0365742, 'lng': -95.6706042}, 'viewport': {'northeast': {'lat': 37.03787902989272, 'lng': -95.66925517010726}, 'southwest': {'lat': 37.03517937010727, 'lng': -95.67195482989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM (K & S Oil Co),ChIJnUMqGaGDt4cRZnI54ear_Ns,4.4,ChIJnUMqGaGDt4cRZnI54ear_Ns,"['atm', 'finance', 'point_of_interest', 'establishment']",10,"{'compound_code': '28PH+JQ Coffeyville, Kansas', 'global_code': '869628PH+JQ'}",{'open_now': False}
6,OPERATIONAL,"313 W 9th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0346895, 'lng': -95.62013259999999}, 'viewport': {'northeast': {'lat': 37.03623322989273, 'lng': -95.61878437010728}, 'southwest': {'lat': 37.03353357010728, 'lng': -95.62148402989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJ826C9feEt4cR6I_GKZX6wg8,4.7,ChIJ826C9feEt4cR6I_GKZX6wg8,"['atm', 'finance', 'point_of_interest', 'establishment']",9,"{'compound_code': '29MH+VW Coffeyville, Kansas', 'global_code': '869629MH+VW'}",{'open_now': False}
7,OPERATIONAL,"705 W 11th St, Coffeyville, KS 67337, United States","{'location': {'lat': 37.0327353, 'lng': -95.6260836}, 'viewport': {'northeast': {'lat': 37.03422067989272, 'lng': -95.62472997010728}, 'southwest': {'lat': 37.03152102010728, 'lng': -95.62742962989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,Cardtronics,ChIJVaNiH4uEt4cRdpIH6BSavXo,0.0,ChIJVaNiH4uEt4cRdpIH6BSavXo,"['atm', 'finance', 'point_of_interest', 'establishment']",0,"{'compound_code': '29MF+3H Coffeyville, Kansas', 'global_code': '869629MF+3H'}",
8,OPERATIONAL,"306 Willow St, South Coffeyville, OK 74072, United States","{'location': {'lat': 36.9967659, 'lng': -95.6207838}, 'viewport': {'northeast': {'lat': 36.99811557989272, 'lng': -95.61928657010728}, 'southwest': {'lat': 36.99541592010728, 'lng': -95.62198622989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJ1wCBlMuEt4cRgV_VUDzUP3U,0.0,ChIJ1wCBlMuEt4cRgV_VUDzUP3U,"['atm', 'finance', 'point_of_interest', 'establishment']",0,"{'compound_code': 'X9WH+PM South Coffeyville, Oklahoma', 'global_code': '8686X9WH+PM'}",
9,OPERATIONAL,"1801 W Main St, Independence, KS 67301, United States","{'location': {'lat': 37.2233223, 'lng': -95.7289235}, 'viewport': {'northeast': {'lat': 37.22471707989271, 'lng': -95.72757337010728}, 'southwest': {'lat': 37.22201742010727, 'lng': -95.73027302989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/atm-71.png,ATM,ChIJycrho0oruIcRAkyGxwrMrTg,1.0,ChIJycrho0oruIcRAkyGxwrMrTg,"['atm', 'finance', 'point_of_interest', 'establishment']",1,"{'compound_code': '67FC+8C Independence, Kansas', 'global_code': '869667FC+8C'}",
